Scalability Evaluation - Context sweep capability with 20 context set
Experiment executed on Wed Jan 21 16:00:32 BRST 2015
"Executing model 4 with 1900 nodes... Full sweep: 100.0%"
"Executing model 5 with 1900 nodes... Full sweep: 100.0%"
"Executing model 6 with 1900 nodes... Partial sweep: 24.561296426282542%"
"Executing model 7 with 1900 nodes... Partial sweep: 61.870174260689105%"
"Executing model 8 with 1900 nodes... Partial sweep: 87.44163335062716%"
"Executing model 9 with 1900 nodes... Full sweep: 100.0%"
 1900 15 25997.0 79.3389690847499
"Executing model 0 with 2000 nodes... Partial sweep: 40.336313974425494%"
"Executing model 1 with 2000 nodes... Partial sweep: 87.50267036957915%"
"Executing model 2 with 2000 nodes... Partial sweep: 22.009949034089175%"
"Executing model 3 with 2000 nodes... Partial sweep: 21.680349131748404%"
"Executing model 4 with 2000 nodes... Full sweep: 100.0%"
"Executing model 5 with 2000 nodes... Partial sweep: 60.97903378398999%"
"Executing model 6 with 2000 nodes... Full sweep: 100.0%"
"Executing model 7 with 2000 nodes... Full sweep: 100.0%"
"Executing model 8 with 2000 nodes... Full sweep: 100.0%"
"Executing model 9 with 2000 nodes... Partial sweep: 24.662007507553334%"
 2000 15 21533.0 65.71550645466475
"Executing model 0 with 2100 nodes... Partial sweep: 23.499252296517838%"
"Executing model 1 with 2100 nodes... Full sweep: 100.0%"
"Executing model 2 with 2100 nodes... Full sweep: 100.0%"
"Executing model 3 with 2100 nodes... Full sweep: 100.0%"
"Executing model 4 with 2100 nodes... Partial sweep: 68.4865871150853%"
"Executing model 5 with 2100 nodes... Partial sweep: 23.37717825861385%"
"Executing model 6 with 2100 nodes... Full sweep: 100.0%"
"Executing model 7 with 2100 nodes... Partial sweep: 18.277535325174718%"
"Executing model 8 with 2100 nodes... Full sweep: 100.0%"
"Executing model 9 with 2100 nodes... Full sweep: 100.0%"
 2100 15 24039.0 73.36344492934965
"Executing model 0 with 2200 nodes... Partial sweep: 70.04608294930875%"
"Executing model 1 with 2200 nodes... Full sweep: 100.0%"
"Executing model 2 with 2200 nodes... Full sweep: 100.0%"
"Executing model 3 with 2200 nodes... Full sweep: 100.0%"
"Executing model 4 with 2200 nodes... Partial sweep: 19.89806817835017%"
"Executing model 5 with 2200 nodes... Full sweep: 100.0%"
"Executing model 6 with 2200 nodes... Full sweep: 100.0%"
"Executing model 7 with 2200 nodes... Partial sweep: 18.836024048585468%"
"Executing model 8 with 2200 nodes... Partial sweep: 19.504379406109805%"
"Executing model 9 with 2200 nodes... Partial sweep: 34.876552629169595%"
 2200 15 21729.0 66.3136692403943
"Executing model 0 with 2300 nodes... Partial sweep: 31.025116733298745%"
"Executing model 1 with 2300 nodes... Full sweep: 100.0%"
"Executing model 2 with 2300 nodes... Partial sweep: 90.60945463423566%"
"Executing model 3 with 2300 nodes... Full sweep: 100.0%"
"Executing model 4 with 2300 nodes... Partial sweep: 16.95608386486404%"
"Executing model 5 with 2300 nodes... Partial sweep: 15.900143436994538%"
"Executing model 6 with 2300 nodes... Partial sweep: 20.97231971190527%"
"Executing model 7 with 2300 nodes... Partial sweep: 35.55711539048433%"
"Executing model 8 with 2300 nodes... Partial sweep: 21.668141727958005%"
"Executing model 9 with 2300 nodes... Full sweep: 100.0%"
 2300 15 17454.0 53.26700643940549
"Executing model 0 with 2400 nodes... Partial sweep: 26.938688314462723%"
"Executing model 1 with 2400 nodes... Full sweep: 100.0%"
"Executing model 2 with 2400 nodes... Full sweep: 100.0%"
"Executing model 3 with 2400 nodes... Full sweep: 100.0%"
"Executing model 4 with 2400 nodes... Full sweep: 100.0%"
"Executing model 5 with 2400 nodes... Full sweep: 100.0%"
"Executing model 6 with 2400 nodes... Full sweep: 100.0%"
"Executing model 7 with 2400 nodes... Full sweep: 100.0%"
"Executing model 8 with 2400 nodes... Full sweep: 100.0%"
"Executing model 9 with 2400 nodes... Full sweep: 100.0%"
 2400 15 30373.0 92.69386883144627
"Executing model 0 with 2500 nodes... Partial sweep: 53.83465071565905%"
"Executing model 1 with 2500 nodes... Full sweep: 100.0%"
"Executing model 2 with 2500 nodes... Partial sweep: 20.035401470992156%"
"Executing model 3 with 2500 nodes... Partial sweep: 33.19803460798975%"
"Executing model 4 with 2500 nodes... Partial sweep: 57.80510879848628%"
"Executing model 5 with 2500 nodes... Partial sweep: 24.88174077578051%"
"Executing model 6 with 2500 nodes... Full sweep: 100.0%"
"Executing model 7 with 2500 nodes... Full sweep: 100.0%"
"Executing model 8 with 2500 nodes... Partial sweep: 18.55220191045869%"
"Executing model 9 with 2500 nodes... Partial sweep: 14.136173589281901%"
 2500 15 17118.0 52.241584521011994
"Executing model 0 with 2600 nodes... Partial sweep: 70.88229010895107%"
"Executing model 1 with 2600 nodes... Partial sweep: 65.42863246559037%"
"Executing model 2 with 2600 nodes... Partial sweep: 37.25089266640217%"
"Executing model 3 with 2600 nodes... Full sweep: 100.0%"
"Executing model 4 with 2600 nodes... Partial sweep: 53.08999908444471%"
"Executing model 5 with 2600 nodes... Full sweep: 100.0%"
"Executing model 6 with 2600 nodes... Partial sweep: 16.20532853175451%"
"Executing model 7 with 2600 nodes... Partial sweep: 70.83651234473707%"
"Executing model 8 with 2600 nodes... Full sweep: 100.0%"
"Executing model 9 with 2600 nodes... Partial sweep: 33.133945738090155%"
 2600 15 21194.0 64.68092898342846
"Executing model 0 with 2700 nodes... Partial sweep: 57.6403088473159%"
"Executing model 1 with 2700 nodes... Full sweep: 100.0%"
"Executing model 2 with 2700 nodes... Full sweep: 100.0%"
"Executing model 3 with 2700 nodes... Full sweep: 100.0%"
"Executing model 4 with 2700 nodes... Full sweep: 100.0%"
"Executing model 5 with 2700 nodes... Partial sweep: 19.44639423810541%"
"Executing model 6 with 2700 nodes... Partial sweep: 15.295876949369793%"
"Executing model 7 with 2700 nodes... Full sweep: 100.0%"
"Executing model 8 with 2700 nodes... Partial sweep: 48.17651905880917%"
"Executing model 9 with 2700 nodes... Partial sweep: 85.32670064394054%"
 2700 15 23785.0 72.58827478865932
"Executing model 0 with 2800 nodes... Partial sweep: 61.024811548203985%"
"Executing model 1 with 2800 nodes... Full sweep: 100.0%"
"Executing model 2 with 2800 nodes... Full sweep: 100.0%"
"Executing model 3 with 2800 nodes... Full sweep: 100.0%"
"Executing model 4 with 2800 nodes... Partial sweep: 14.03546250801111%"
"Executing model 5 with 2800 nodes... Full sweep: 100.0%"
"Executing model 6 with 2800 nodes... Full sweep: 100.0%"
"Executing model 7 with 2800 nodes... Partial sweep: 49.9984740745262%"
"Executing model 8 with 2800 nodes... Partial sweep: 23.056733909115877%"
"Executing model 9 with 2800 nodes... Full sweep: 100.0%"
 2800 15 24513.0 74.81002227851192
"Executing model 0 with 2900 nodes... Full sweep: 100.0%"
"Executing model 1 with 2900 nodes... Partial sweep: 56.837672048097176%"
"Executing model 2 with 2900 nodes... Partial sweep: 59.517197180089724%"
"Executing model 3 with 2900 nodes... Partial sweep: 52.43995483260597%"
"Executing model 4 with 2900 nodes... Partial sweep: 15.301980651264993%"
"Executing model 5 with 2900 nodes... Full sweep: 100.0%"
"Executing model 6 with 2900 nodes... Partial sweep: 13.083285012359996%"
"Executing model 7 with 2900 nodes... Full sweep: 100.0%"
"Executing model 8 with 2900 nodes... Partial sweep: 31.333353679006315%"
"Executing model 9 with 2900 nodes... Partial sweep: 58.204901272621846%"
 2900 15 19225.0 58.6718344676046
"Executing model 0 with 3000 nodes... Full sweep: 100.0%"
"Executing model 1 with 3000 nodes... Partial sweep: 12.115848261970886%"
"Executing model 2 with 3000 nodes... Partial sweep: 17.81060213019196%"
"Executing model 3 with 3000 nodes... Full sweep: 100.0%"
"Executing model 4 with 3000 nodes... Full sweep: 100.0%"
"Executing model 5 with 3000 nodes... Partial sweep: 70.78463087862788%"
"Executing model 6 with 3000 nodes... Partial sweep: 12.347788933988465%"
"Executing model 7 with 3000 nodes... Full sweep: 100.0%"
"Executing model 8 with 3000 nodes... Partial sweep: 49.72075563829463%"
"Executing model 9 with 3000 nodes... Partial sweep: 17.218543046357617%"
 3000 15 19004.0 57.99737540818506
"Executing model 0 with 3100 nodes... Full sweep: 100.0%"
"Executing model 1 with 3100 nodes... Partial sweep: 18.601031525620286%"
"Executing model 2 with 3100 nodes... Partial sweep: 13.852351451155126%"
"Executing model 3 with 3100 nodes... Partial sweep: 22.894985808893093%"
"Executing model 4 with 3100 nodes... Partial sweep: 11.593981749931332%"
"Executing model 5 with 3100 nodes... Partial sweep: 10.498367259743034%"
"Executing model 6 with 3100 nodes... Partial sweep: 11.780144657734915%"
"Executing model 7 with 3100 nodes... Full sweep: 100.0%"
"Executing model 8 with 3100 nodes... Full sweep: 100.0%"
"Executing model 9 with 3100 nodes... Partial sweep: 11.85033722952971%"
 3100 15 13141.0 40.10437330240791
"Executing model 0 with 3200 nodes... Partial sweep: 52.51014740440076%"
"Executing model 1 with 3200 nodes... Full sweep: 100.0%"
"Executing model 2 with 3200 nodes... Full sweep: 100.0%"
"Executing model 3 with 3200 nodes... Full sweep: 100.0%"
"Executing model 4 with 3200 nodes... Partial sweep: 22.09234900967437%"
"Executing model 5 with 3200 nodes... Full sweep: 100.0%"
"Executing model 6 with 3200 nodes... Full sweep: 100.0%"
"Executing model 7 with 3200 nodes... Partial sweep: 21.332438123722035%"
"Executing model 8 with 3200 nodes... Full sweep: 100.0%"
"Executing model 9 with 3200 nodes... Full sweep: 100.0%"
 3200 15 26080.0 79.59227271340067
"Executing model 0 with 3300 nodes... Full sweep: 100.0%"
"Executing model 1 with 3300 nodes... Full sweep: 100.0%"
"Executing model 2 with 3300 nodes... Full sweep: 100.0%"
"Executing model 3 with 3300 nodes... Partial sweep: 13.281655323953977%"
"Executing model 4 with 3300 nodes... Partial sweep: 13.025299844355601%"
"Executing model 5 with 3300 nodes... Full sweep: 100.0%"
"Executing model 6 with 3300 nodes... Full sweep: 100.0%"
"Executing model 7 with 3300 nodes... Partial sweep: 58.766441846980186%"
"Executing model 8 with 3300 nodes... Full sweep: 100.0%"
"Executing model 9 with 3300 nodes... Partial sweep: 12.347788933988465%"
 3300 15 22852.0 69.74089785454879
"Executing model 0 with 3400 nodes... Full sweep: 100.0%"
"Executing model 1 with 3400 nodes... Full sweep: 100.0%"
"Executing model 2 with 3400 nodes... Full sweep: 100.0%"
"Executing model 3 with 3400 nodes... Full sweep: 100.0%"
"Executing model 4 with 3400 nodes... Full sweep: 100.0%"
"Executing model 5 with 3400 nodes... Partial sweep: 16.370128482924894%"
"Executing model 6 with 3400 nodes... Partial sweep: 37.678151799066136%"
"Executing model 7 with 3400 nodes... Full sweep: 100.0%"
"Executing model 8 with 3400 nodes... Partial sweep: 18.591875972777487%"
"Executing model 9 with 3400 nodes... Full sweep: 100.0%"
 3400 15 25317.0 77.2637104403821
"Executing model 0 with 3500 nodes... Partial sweep: 18.14935758537553%"
"Executing model 1 with 3500 nodes... Full sweep: 100.0%"
